;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68
11;0;0;0;0;1;3;2;1;0;4;0;5;19;1;0;0;1;39;10;3;0;0;0;0;1;13;0;1;16;0;3;11;0;41;0;0;0;0;0;0;0;0;0;0;1;0;11;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
12;0;0;0;13;6;48;0;4;15;15;5;0;0;4;23;0;0;1;1;47;0;0;0;6;0;0;0;0;9;0;0;1;0;7;0;0;0;2;0;0;0;0;1;1;0;9;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0
13;0;2;0;0;0;0;0;0;2;0;19;0;0;0;0;0;0;0;0;0;0;1;0;0;44;2;6;0;0;0;23;0;0;1;0;1;0;0;0;0;0;0;0;0;4;0;76;0;0;0;0;0;0;0;0;0;0;0;14;1;3;0;0;0;9;0;0;0
14;47;0;1;0;0;5;21;59;0;13;1;4;0;0;0;0;1;0;0;2;0;0;4;0;0;0;0;0;43;8;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;2;61;44;0;3;10;0;0;23;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0;1;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;68;7;20;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;39;0;0;0;0;1;12;6;3;0;0;1;0;0;0;0;0;0;0
17;1;0;32;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;47;0;1;0;25;0;0;13;2;0;4;2;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0;0;0;0;0;1;39;1;0;0;0;0;2;0;21;1;0;0;0;0;0;7;0;0;3;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;1;0;1;0;0;0;1;0;0;2;10;1;0;0;0;0;47;21;0;1;0;0;1;0;0;20;0;1;5;0;0;0;2;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;57;1;4;0;1;8;16;3;47;0;2;3;0;0;1;1;0;0;0;0;10;0;0;0;4;4;0;0;0;0;8;0;0;0;8;0;0;0;0;2;8;0;9;0;0;0;0;0;0;0;24;0;0;0;5;0;0;0;4;0;0;0;0;0;0
21;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;57;1;0;0;0;20;6;56;0;0;5;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;34;0;0;0;0;0;0;24;0;0;0;1;0;0;68;0;0;0;0;0;0;1;24;12;0;22;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;11;0;0;0;0;0;0;15;0;0;0;0;0;70;1;5;1;0;3;0;0;0;0;0;0;0
23;4;0;45;0;0;0;3;1;0;0;0;0;0;4;0;7;25;0;1;0;57;1;0;0;0;2;8;2;5;13;0;0;1;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
24;0;7;0;43;3;0;2;0;46;1;0;6;0;0;2;20;0;0;0;10;1;24;0;0;4;0;4;29;1;0;0;0;0;1;0;0;0;5;0;0;0;0;12;2;0;2;0;0;0;4;0;0;0;3;0;5;0;35;0;0;0;7;0;0;0;0;0;1
25;0;29;0;0;0;0;0;0;12;0;1;0;44;0;0;0;0;0;0;0;0;12;0;4;0;1;16;0;0;0;2;0;0;0;0;20;0;0;0;0;0;0;1;0;0;0;12;0;0;0;0;0;0;0;0;2;0;0;55;0;4;0;0;0;1;0;0;0
